sim,success,wind_x,wind_y,wind_z,p0_x,p0_y,p0_z,v0_x,v0_y,v0_z,true_ap,ekf_ap,rmse,rmsex,rmsey,rmsez,target
1,1,-2.567847859054898,-0.5029996739153191,0.14483656348568363,0.0,0.0,154.16303712414853,-1.0823859652559165,-3.055532599888414,53.14370428934839,249.8917630406448,250.04351712756645,0.19747911407910818,0.12614310713719382,0.11403590766005631,0.10040781236234042,250.0
2,1,-3.7372338043038567,-0.15203314788272593,0.01712284079496429,0.0,0.0,153.85786804132533,1.1026599587503902,3.045633447109429,53.68314930361221,249.8326770869315,249.90468266261095,0.16032902926522555,0.09226469306929949,0.06218115679051984,0.11543884865222064,250.0
3,1,-4.225946758907004,-4.311749274967822,-0.14945462170199686,0.0,0.0,151.7799705079287,-3.264670668548054,0.47325462591216727,50.2316530316545,249.93365343923156,249.8629491398923,0.1003656112258926,0.013318702653168844,0.04418862182126858,0.08912482133457776,250.0
4,1,3.2811116189023224,1.6929255904723615,0.4239309840472004,0.0,0.0,154.85535397836765,-0.8078215425494708,0.09609287581272863,50.656479379334606,249.88405709398725,249.98502551075524,0.16597702794403216,0.11441372697706426,0.06314590372111421,0.1023253034571391,250.0
5,1,-4.02756028877977,1.8896070959344673,0.15458576390171264,0.0,0.0,150.44220843359244,-3.248712369217577,0.9302863896410907,53.287325569803784,249.8920451816697,250.03468968359124,0.12709583083652912,0.029566552471992556,0.06363504407594293,0.10597051644868652,250.0
6,1,4.388442870530923,-4.846033955588139,0.34129092637604963,0.0,0.0,152.7548334404608,-1.3124092079356275,-3.1966275721254522,54.92045481776997,249.68723854595336,249.87572745023726,0.2207463841444257,0.18846270855120917,0.026137398159600672,0.1119268065113396,250.0
7,1,4.253667980400227,0.10070720823167711,0.16456390228763096,0.0,0.0,151.68355616229772,-4.390418863060334,-1.3636632277208993,54.515613093234336,249.7423332874161,249.87362047854097,0.18519535596296136,0.09684175413461464,0.03491957957092922,0.1539468008403174,250.0
8,1,4.9578171784466445,3.8600458097964925,-0.22105600420115457,0.0,0.0,153.07931213838978,-3.78366009285155,1.3632535494407039,50.309525200520326,249.80732809510434,250.05176750556907,0.17611754586525902,0.02387280495023346,0.1080149266389157,0.13704106964191212,250.0
9,1,-1.9947600975187108,-2.5710107275091154,-0.4963327825834005,0.0,0.0,154.4947670076982,2.29514354508047,4.041340961833988,53.50913254085066,249.81996552305438,249.90218294764438,0.2109538755682176,0.11729653235767581,0.14364998712868693,0.10053726827422683,250.0
10,1,2.9501563908885453,-4.693338621594066,0.053451502908322346,0.0,0.0,150.72461977681857,2.8958402012517324,-1.7037058953486262,50.001360691595046,249.72223150559978,249.8183746496182,0.16880107389905397,0.039452592081282975,0.09958898481191471,0.13045815279879602,250.0
11,1,-2.3113362566318885,2.2975698466013315,-0.1857808116421963,0.0,0.0,151.2235649059075,0.8064784324935381,-2.2153607373997652,50.42552021978529,249.76025164626873,249.76866889418537,0.18164906656079427,0.09069810409905249,0.020759488596223164,0.1560105154419682,250.0
12,1,-0.35084826451293694,-3.8940999406464663,0.10993488373846205,0.0,0.0,151.9911153317528,-2.5503305595652903,2.4753297447461877,52.521435042752735,249.90318758861775,249.97734269413223,0.1670760754357521,0.018981052829181822,0.12158308636219199,0.11301189197227297,250.0
13,1,2.2085558227770345,-1.1357837692789827,-0.02573393485341724,0.0,0.0,153.01532746649207,4.725687261549002,-2.7708787437543645,52.45608663593747,249.6998981949326,249.7480869499986,0.16980381872532335,0.12254575244738648,0.008733345232711224,0.11721605731235214,250.0
14,1,-2.0512808542151406,-2.0264730110783438,-0.0009670574053619596,0.0,0.0,152.81873582011926,-2.8914761999879346,0.09431645094101793,50.942481038962164,249.74999908907702,249.91490018172706,0.1490173934829337,0.070753955370107,0.034304076684993384,0.126583141384319,250.0
15,1,-1.3149827440837027,-4.423239251226942,0.04283457251808065,0.0,0.0,152.97876797010997,-1.4188352007859315,-2.0838055720567707,50.782732151264064,249.90703778729647,249.98795044913803,0.1734677624266595,0.08766962344744618,0.12115929455384246,0.08789497749649992,250.0
16,1,0.7347401194973653,3.1210175405752665,0.045769351463400665,0.0,0.0,151.21180295283878,0.8430562000440691,2.024088021335933,50.46637386721358,249.8992682336376,250.0093481649084,0.09568637486084837,0.019632820927968087,0.01711361600744808,0.09207365977070067,250.0
17,1,-0.013877745254216478,1.0244824238358934,-0.2569667344446175,0.0,0.0,150.1380304252411,-0.8382439222867379,4.418713201497972,52.035295414807834,249.79083265348964,249.93983040237364,0.14294572980022066,0.06425833380206347,0.02070490211249938,0.12599863187198548,250.0
18,1,-0.5603252229846847,0.868725285018269,-0.025697434665626795,0.0,0.0,150.49425181002186,-4.2772230195757945,4.973643138790656,51.96018934779596,249.7232591529938,249.83271128342457,0.1217571074200324,0.08825104093738527,0.007745354659884608,0.08352578321664433,250.0
19,1,4.733718900746647,0.6266432241710573,0.4558377021102421,0.0,0.0,151.1205636477388,-1.6486472574848232,2.9586932703561075,52.1372691295727,249.88503776826624,249.87901591454184,0.14471807649972365,0.09320119440424868,0.06523126923670537,0.08945244849175327,250.0
20,1,0.20918510318918493,-0.981679325402026,-0.48581103405794945,0.0,0.0,151.75091420332126,3.521745467270227,-4.841982365513127,51.963028592275876,249.9354435552471,250.0082440407705,0.16460920837219647,0.1344579301351577,0.031396416656393616,0.08961875655145175,250.0
